Kriterium___________	iPhone	Samsung	Nokia	Huawei	Xiaomi	OnePlus	

Preis_______________	0.08333	0.11111	0.27778	0.16667	0.22222	0.16667	
Sicherheit__________	1.66667	1.66667	0.41667	0.83333	1.25	1.45833	
Prestige____________	0.83333	0.75	0.0	0.58333	0.58333	0.66667	
Zubehör_____________	0.16667	0.33333	0.125	0.33333	0.33333	0.33333	
UX__________________	1.125	0.875	1.25	0.875	0.875	1.0	
Leistung____________	1.25	1.25	0.13889	0.97222	1.11111	1.25	
Akku________________	0.33333	0.5	0.55556	0.44444	0.55556	0.44444	
Wartung_____________	0.25	0.875	0.625	1.0	1.0	1.0	
Funktion____________	1.36111	1.75	0.19444	0.97222	1.36111	1.75	

Gesamt______________	7.06944	8.11111	3.58334	6.18054	7.29166	8.06944	
